lon,lat,extreme_Tmax_proxy,extreme_Tmin_proxy,extreme_Prec_proxy,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,GDD_gs,GDD_annual,elevation_m,slope_deg,aspect_deg,clay_pct,sand_pct,silt_pct,soc_dgkg,bdod_kgdm3,cec_cmolkg,ph,nitrogen_cgkg,wheat_yield_tha,wheat_yield_pred_tha,yield_uncertainty_tha,yield_source,yield_blended_tha,yield_source_blend,grid_id,zenodo_yield_tha,n_px
117.0625,40.4375,28.288,-13.456,177.0,9.2962,12.001,28.749,1128.0176,28.288,-13.456,41.744,22.4247,-5.3773,22.4247,-5.3773,524.0,177.0,3.0,130.4331,389.0,9.0,389.0,9.0,3.0,3.0,7.0,15.0,33.0,72.0,177.0,140.0,49.0,17.0,5.0,3.0,-7.204,-4.028,2.588,11.156,17.14,21.452,23.556,22.26,17.148,10.58,1.808,-4.916,0.0,0.0,0.0,34.68,221.34,343.56,420.236,380.06,214.44,17.980000000000004,0.0,0.0,1614.316,1632.296,484.9299,15.3447,212.6736,18.7,46.7,34.6,406.0,1.24,17.8,7.3,40.6,,7.042987261820826,0.1152331919396063,SpatialPred,6.331030467458553,BayesianBlend,24,,0
117.1042,40.4375,27.62,-14.004,178.0,8.6202,11.929,28.6589,1125.2783,27.62,-14.004,41.624,21.7467,-5.9913,21.7467,-5.9913,535.0,178.0,3.0,128.9454,395.0,9.0,395.0,9.0,3.0,3.0,7.0,16.0,35.0,75.0,178.0,142.0,50.0,17.0,6.0,3.0,-7.764,-4.708,1.84,10.368,16.4,20.752,22.896,21.6,16.464,9.952,1.156,-5.516,0.0,0.0,0.0,11.04,198.4,322.56,399.776,359.6,193.92,0.0,0.0,0.0,1485.296,1485.296,627.1806,18.5834,173.2041,18.4,46.3,35.3,472.0,1.23,18.5,7.1,47.2,,7.009428192108987,0.1152331919396063,SpatialPred,6.433347148357848,BayesianBlend,25,,0
117.1458,40.4375,28.172,-13.6,178.0,9.1522,11.815,28.2845,1135.6639,28.172,-13.6,41.772,22.3607,-5.632,22.3607,-5.632,526.0,178.0,3.0,130.6961,391.0,9.0,391.0,9.0,3.0,3.0,7.0,15.0,34.0,72.0,178.0,141.0,48.0,17.0,5.0,3.0,-7.48,-4.296,2.384,11.008,17.036,21.36,23.488,22.236,17.06,10.48,1.656,-5.132,0.0,0.0,0.0,30.239999999999995,218.116,340.8,418.128,379.316,211.8,14.880000000000004,0.0,0.0,1598.4,1613.28,468.5652,18.7618,120.6268,17.6,49.2,33.1,449.0,1.24,18.0,7.1,44.9,,7.021884657117693,0.1152331919396063,SpatialPred,6.214936426144193,BayesianBlend,26,,0
117.1875,40.4375,28.596,-13.52,177.0,9.512,11.9627,28.4041,1144.3866,28.596,-13.52,42.116,22.7807,-5.4187,22.7807,-5.4187,520.0,177.0,3.0,130.9449,387.0,9.0,387.0,9.0,3.0,3.0,7.0,15.0,33.0,71.0,177.0,139.0,47.0,17.0,5.0,3.0,-7.332,-4.0,2.8,11.504,17.516,21.796,23.892,22.644,17.452,10.828,1.94,-4.936,0.0,0.0,0.0,45.12,232.996,353.88,430.652,391.964,223.56,25.668,0.0,0.0,1678.172,1703.84,365.8876,10.0,273.5239,17.3,51.6,31.1,410.0,1.25,18.2,7.1,41.0,,7.02075454089742,0.1152331919396063,SpatialPred,6.484887217813537,BayesianBlend,27,,0
117.2292,40.4375,27.988,-14.148,178.0,8.896,12.084,28.6786,1140.2777,27.988,-14.148,42.136,22.1393,-5.9653,22.1393,-5.9653,529.0,178.0,3.0,129.9873,392.0,9.0,392.0,9.0,3.0,3.0,7.0,16.0,34.0,73.0,178.0,141.0,49.0,17.0,5.0,3.0,-7.852,-4.552,2.192,10.856,16.876,21.156,23.264,21.992,16.78,10.208,1.316,-5.504,0.0,0.0,0.0,25.68,213.156,334.68,411.184,371.752,203.4,6.448,0.0,0.0,1559.852,1566.3,509.5931,13.2803,197.7437,16.9,54.5,28.6,368.0,1.26,18.6,7.2,36.8,,6.997886062127838,0.1152331919396063,SpatialPred,6.30258207906622,BayesianBlend,28,,0
117.2708,40.4375,27.516,-14.448,178.0,8.467,11.984,28.5578,1136.5992,27.516,-14.448,41.964,21.6893,-6.332,21.6893,-6.332,534.0,178.0,3.0,129.3889,395.0,10.0,395.0,10.0,3.0,4.0,7.0,16.0,35.0,74.0,178.0,143.0,49.0,17.0,5.0,3.0,-8.176,-4.984,1.716,10.356,16.36,20.688,22.812,21.584,16.336,9.844,0.944,-5.852,0.0,0.0,0.0,10.68,197.16,320.64,397.172,359.104,190.08,0.0,0.0,0.0,1474.836,1474.836,586.1139,13.6901,235.7486,17.0,53.2,29.8,424.0,1.25,18.7,7.0,42.4,,6.994072244458157,0.1152331919396063,SpatialPred,6.355740649529342,BayesianBlend,29,,0
117.3125,40.4375,27.216,-14.716,178.0,8.1513,11.9693,28.5446,1136.1128,27.216,-14.716,41.932,21.386,-6.6307,21.386,-6.6307,542.0,178.0,3.0,127.4915,397.0,10.0,397.0,10.0,3.0,4.0,8.0,17.0,36.0,75.0,178.0,144.0,50.0,18.0,6.0,3.0,-8.444,-5.308,1.3520000000000003,9.992,16.008,20.344,22.52,21.28,16.016,9.532,0.6560000000000001,-6.132,0.0,0.0,0.0,0.0,186.248,310.32,388.12,349.68,180.48,0.0,0.0,0.0,1414.848,1414.848,650.7236,16.8456,191.5985,17.3,48.8,33.8,515.0,1.23,18.9,6.9,51.5,,6.970129907421318,0.1152331919396063,SpatialPred,6.2910174509923245,BayesianBlend,30,,0
117.3542,40.4375,27.052,-14.904,178.0,7.9913,12.0247,28.6602,1135.0405,27.052,-14.904,41.956,21.2173,-6.7753,21.2173,-6.7753,546.0,178.0,3.0,126.9943,399.0,10.0,399.0,10.0,3.0,4.0,8.0,17.0,37.0,76.0,178.0,145.0,51.0,18.0,6.0,3.0,-8.596,-5.468,1.1840000000000002,9.82,15.812,20.156,22.356,21.132,15.852,9.384,0.516,-6.276,0.0,0.0,0.0,0.0,180.172,304.68,383.036,345.092,175.56,0.0,0.0,0.0,1388.54,1388.54,675.7443,15.6039,203.2578,17.5,44.6,37.9,556.0,1.21,19.4,6.9,55.60000000000001,,6.979836522401495,0.1152331919396063,SpatialPred,6.729655547689483,BayesianBlend,31,,0
117.3958,40.4375,26.84,-15.132,178.0,7.778,12.0367,28.6778,1133.7048,26.84,-15.132,41.972,20.9953,-6.9667,20.9953,-6.9667,549.0,178.0,3.0,126.5706,400.0,10.0,400.0,10.0,3.0,4.0,8.0,18.0,37.0,76.0,178.0,146.0,52.0,18.0,6.0,3.0,-8.8,-5.66,0.952,9.576,15.576,19.944,22.132,20.904,15.648,9.168,0.3399999999999998,-6.472,0.0,0.0,0.0,0.0,172.856,298.32,376.092,338.024,169.44,0.0,0.0,0.0,1354.732,1354.732,723.3631,15.8822,241.9779,17.2,43.4,39.4,488.0,1.2,19.8,6.9,48.8,,6.977494479679772,0.1152331919396063,SpatialPred,6.398221807187846,BayesianBlend,32,,0
117.4375,40.4375,26.728,-15.396,179.0,7.6302,12.141,28.822,1135.2128,26.728,-15.396,42.124,20.8627,-7.136,20.8627,-7.136,552.0,179.0,3.0,126.4026,402.0,10.0,402.0,10.0,3.0,4.0,8.0,18.0,38.0,77.0,179.0,146.0,52.0,18.0,6.0,3.0,-8.968,-5.772,0.8399999999999994,9.432,15.464,19.84,22.012,20.752,15.496,8.984,0.1720000000000001,-6.652,0.0,0.0,0.0,0.0,169.384,295.2,372.372,333.312,164.88,0.0,0.0,0.0,1335.1481,1335.1481,756.6558,15.8533,106.9214,17.0,44.8,38.3,437.0,1.21,19.5,6.9,43.7,,6.970621605900209,0.1152331919396063,SpatialPred,6.210449588916933,BayesianBlend,33,,0
