cell_r,cell_c,lon,lat,yield_2021_tha,n_px,elevation_m,bdod,cec,clay,nitrogen,phh2o,sand,silt,soc,bio_1,bio_4,bio_5,bio_12,bio_15,bio_10
3,11,116.945875,40.027875,5.915,74,27.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
3,12,116.948125,40.027875,5.57,62,30.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
3,13,116.950375,40.027875,5.425,84,31.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
3,14,116.952625,40.027875,5.662,37,30.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
3,15,116.954875,40.027875,5.723,32,31.0,135.0,,,,,,,143.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
3,20,116.966125,40.027875,5.756,34,28.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
3,29,116.986375,40.027875,5.774,49,26.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
3,30,116.988625,40.027875,5.731,18,28.0,135.0,,,,,,,143.0,11.585833549499512,1126.618408203125,30.280000686645508,534.0,140.09783935546875,24.68000030517578
3,42,117.015625,40.027875,6.017,25,25.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
3,43,117.017875,40.027875,6.017,44,27.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
3,44,117.020125,40.027875,6.017,17,24.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
3,53,117.040375,40.027875,6.028,35,26.0,134.0,,,,,,,133.0,11.576666831970215,1128.4345703125,30.284000396728516,531.0,139.8108673095703,24.695999145507812
3,54,117.042625,40.027875,6.018,61,26.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
3,55,117.044875,40.027875,6.017,30,26.0,134.0,,,,,,,133.0,11.63599967956543,1129.246826171875,30.371999740600586,534.0,138.50909423828125,24.77199935913086
4,1,116.923375,40.030125000000005,5.006,16,27.0,136.0,194.0,201.0,,78.0,407.0,392.0,153.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,2,116.925625,40.030125000000005,5.173,52,30.0,136.0,194.0,201.0,,78.0,407.0,392.0,153.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,3,116.927875,40.030125000000005,5.581,32,27.0,136.0,194.0,201.0,,78.0,407.0,392.0,153.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,7,116.936875,40.030125000000005,5.474,24,29.0,136.0,194.0,201.0,,78.0,407.0,392.0,153.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,9,116.941375,40.030125000000005,6.067,18,25.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,10,116.943625,40.030125000000005,6.03,69,26.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,11,116.945875,40.030125000000005,5.895,70,28.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,12,116.948125,40.030125000000005,5.552,74,28.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
4,13,116.950375,40.030125000000005,5.705,63,26.0,135.0,196.0,227.0,,79.0,395.0,378.0,160.0,11.556333541870117,1124.36279296875,30.260000228881836,532.0,141.2589569091797,24.62733268737793
