lon,lat,extreme_Tmax_proxy,extreme_Tmin_proxy,extreme_Prec_proxy,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,prec_01,prec_02,prec_03,prec_04,prec_05,prec_06,prec_07,prec_08,prec_09,prec_10,prec_11,prec_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,GDD_gs,GDD_annual,elevation_m,slope_deg,aspect_deg,clay_pct,sand_pct,silt_pct,soc_dgkg,bdod_kgdm3,cec_cmolkg,ph,nitrogen_cgkg
116.8958,40.4375,29.7760,-12.4120,176.0000,10.7345,12.1770,28.8637,1141.0283,29.7760,-12.4120,42.1880,23.9527,-4.1507,23.9527,-4.1507,506.0000,176.0000,3.0000,132.4902,379.0000,9.0000,379.0000,9.0000,3.0000,3.0000,6.0000,13.0000,31.0000,69.0000,176.0000,134.0000,46.0000,17.0000,5.0000,3.0000,-6.1480,-2.6680,4.1240,12.8560,18.8000,23.1040,25.0360,23.7400,18.6120,11.8960,3.1040,-3.6440,0.0000,0.0000,0.0000,85.6800,272.8000,393.1200,466.1160,425.9400,258.3600,58.7760,0.0000,0.0000,1902.0159,1960.7919,174.1833,7.8252,248.5062,17.6000,47.6000,34.8000,288.0000,1.2900,16.6000,7.5000,28.8000
116.9375,40.4375,29.7920,-12.4560,176.0000,10.7853,12.0107,28.4290,1142.8422,29.7920,-12.4560,42.2480,24.0200,-4.1407,24.0200,-4.1407,502.0000,176.0000,3.0000,133.4656,377.0000,9.0000,377.0000,9.0000,3.0000,3.0000,6.0000,13.0000,30.0000,67.0000,176.0000,134.0000,46.0000,16.0000,5.0000,3.0000,-6.2200,-2.7280,4.0760,12.8280,18.7960,23.1200,25.1080,23.8400,18.7360,12.0360,3.3240,-3.4560,0.0000,0.0000,0.0000,84.8400,272.6760,393.6000,468.3480,429.0400,262.0800,63.1160,0.0000,0.0000,1910.5840,1973.7000,150.7538,5.2020,114.2138,17.2000,47.8000,35.0000,231.0000,1.3000,17.1000,7.2000,23.1000
116.9792,40.4375,29.7760,-12.4480,176.0000,10.7653,11.9420,28.2825,1144.2542,29.7760,-12.4480,42.2240,24.0167,-4.1853,24.0167,-4.1853,503.0000,176.0000,3.0000,133.1124,377.0000,9.0000,377.0000,9.0000,3.0000,3.0000,6.0000,13.0000,30.0000,67.0000,176.0000,134.0000,46.0000,17.0000,5.0000,3.0000,-6.2480,-2.7600,4.0520,12.8240,18.7400,23.0800,25.1040,23.8680,18.7400,12.0560,3.2840,-3.5240,0.0000,0.0000,0.0000,84.7200,270.9400,392.4000,468.2240,429.9080,262.2000,63.7360,0.0000,0.0000,1908.3920,1972.1280,136.8522,5.0945,24.5901,17.9000,50.6000,31.5000,297.0000,1.2700,15.9000,7.4000,29.7000
117.0208,40.4375,29.2720,-12.6920,177.0000,10.2828,11.9817,28.5522,1136.8877,29.2720,-12.6920,41.9640,23.4667,-4.5480,23.4667,-4.5480,512.0000,177.0000,3.0000,132.3438,383.0000,9.0000,383.0000,9.0000,3.0000,3.0000,7.0000,14.0000,31.0000,69.0000,177.0000,137.0000,47.0000,16.0000,5.0000,3.0000,-6.5000,-3.1080,3.6360,12.2760,18.2240,22.5280,24.5480,23.3080,18.1960,11.5280,2.7480,-4.0320,0.0000,0.0000,0.0000,68.2800,254.9440,375.8400,450.9880,412.5480,245.8800,47.3680,0.0000,0.0000,1808.4800,1855.8480,258.2063,10.4464,271.4023,18.2000,49.3000,32.5000,337.0000,1.2600,16.5000,7.3000,33.7000
117.0625,40.4375,28.2880,-13.4560,177.0000,9.2962,12.0010,28.7490,1128.0176,28.2880,-13.4560,41.7440,22.4247,-5.3773,22.4247,-5.3773,524.0000,177.0000,3.0000,130.4331,389.0000,9.0000,389.0000,9.0000,3.0000,3.0000,7.0000,15.0000,33.0000,72.0000,177.0000,140.0000,49.0000,17.0000,5.0000,3.0000,-7.2040,-4.0280,2.5880,11.1560,17.1400,21.4520,23.5560,22.2600,17.1480,10.5800,1.8080,-4.9160,0.0000,0.0000,0.0000,34.6800,221.3400,343.5600,420.2360,380.0600,214.4400,17.9800,0.0000,0.0000,1614.3160,1632.2960,484.9299,15.3447,212.6736,18.7000,46.7000,34.6000,406.0000,1.2400,17.8000,7.3000,40.6000
117.1042,40.4375,27.6200,-14.0040,178.0000,8.6202,11.9290,28.6589,1125.2783,27.6200,-14.0040,41.6240,21.7467,-5.9913,21.7467,-5.9913,535.0000,178.0000,3.0000,128.9454,395.0000,9.0000,395.0000,9.0000,3.0000,3.0000,7.0000,16.0000,35.0000,75.0000,178.0000,142.0000,50.0000,17.0000,6.0000,3.0000,-7.7640,-4.7080,1.8400,10.3680,16.4000,20.7520,22.8960,21.6000,16.4640,9.9520,1.1560,-5.5160,0.0000,0.0000,0.0000,11.0400,198.4000,322.5600,399.7760,359.6000,193.9200,0.0000,0.0000,0.0000,1485.2960,1485.2960,627.1806,18.5834,173.2041,18.4000,46.3000,35.3000,472.0000,1.2300,18.5000,7.1000,47.2000
117.1458,40.4375,28.1720,-13.6000,178.0000,9.1522,11.8150,28.2845,1135.6639,28.1720,-13.6000,41.7720,22.3607,-5.6320,22.3607,-5.6320,526.0000,178.0000,3.0000,130.6961,391.0000,9.0000,391.0000,9.0000,3.0000,3.0000,7.0000,15.0000,34.0000,72.0000,178.0000,141.0000,48.0000,17.0000,5.0000,3.0000,-7.4800,-4.2960,2.3840,11.0080,17.0360,21.3600,23.4880,22.2360,17.0600,10.4800,1.6560,-5.1320,0.0000,0.0000,0.0000,30.2400,218.1160,340.8000,418.1280,379.3160,211.8000,14.8800,0.0000,0.0000,1598.4000,1613.2800,468.5652,18.7618,120.6268,17.6000,49.2000,33.1000,449.0000,1.2400,18.0000,7.1000,44.9000
117.1875,40.4375,28.5960,-13.5200,177.0000,9.5120,11.9627,28.4041,1144.3866,28.5960,-13.5200,42.1160,22.7807,-5.4187,22.7807,-5.4187,520.0000,177.0000,3.0000,130.9449,387.0000,9.0000,387.0000,9.0000,3.0000,3.0000,7.0000,15.0000,33.0000,71.0000,177.0000,139.0000,47.0000,17.0000,5.0000,3.0000,-7.3320,-4.0000,2.8000,11.5040,17.5160,21.7960,23.8920,22.6440,17.4520,10.8280,1.9400,-4.9360,0.0000,0.0000,0.0000,45.1200,232.9960,353.8800,430.6520,391.9640,223.5600,25.6680,0.0000,0.0000,1678.1720,1703.8400,365.8876,10.0000,273.5239,17.3000,51.6000,31.1000,410.0000,1.2500,18.2000,7.1000,41.0000
117.2292,40.4375,27.9880,-14.1480,178.0000,8.8960,12.0840,28.6786,1140.2777,27.9880,-14.1480,42.1360,22.1393,-5.9653,22.1393,-5.9653,529.0000,178.0000,3.0000,129.9873,392.0000,9.0000,392.0000,9.0000,3.0000,3.0000,7.0000,16.0000,34.0000,73.0000,178.0000,141.0000,49.0000,17.0000,5.0000,3.0000,-7.8520,-4.5520,2.1920,10.8560,16.8760,21.1560,23.2640,21.9920,16.7800,10.2080,1.3160,-5.5040,0.0000,0.0000,0.0000,25.6800,213.1560,334.6800,411.1840,371.7520,203.4000,6.4480,0.0000,0.0000,1559.8520,1566.3000,509.5931,13.2803,197.7437,16.9000,54.5000,28.6000,368.0000,1.2600,18.6000,7.2000,36.8000
117.2708,40.4375,27.5160,-14.4480,178.0000,8.4670,11.9840,28.5578,1136.5992,27.5160,-14.4480,41.9640,21.6893,-6.3320,21.6893,-6.3320,534.0000,178.0000,3.0000,129.3889,395.0000,10.0000,395.0000,10.0000,3.0000,4.0000,7.0000,16.0000,35.0000,74.0000,178.0000,143.0000,49.0000,17.0000,5.0000,3.0000,-8.1760,-4.9840,1.7160,10.3560,16.3600,20.6880,22.8120,21.5840,16.3360,9.8440,0.9440,-5.8520,0.0000,0.0000,0.0000,10.6800,197.1600,320.6400,397.1720,359.1040,190.0800,0.0000,0.0000,0.0000,1474.8360,1474.8360,586.1139,13.6901,235.7486,17.0000,53.2000,29.8000,424.0000,1.2500,18.7000,7.0000,42.4000
